id,company,avgStockPrice,date
87,9,172.68,2022-07-09T14:43:03.500Z
88,21,588.35,2022-07-09T14:43:03.500Z
89,16,1369.34,2022-07-09T14:43:03.500Z
90,23,128.14,2022-07-09T14:43:03.500Z
91,4,1165.91,2022-07-09T14:43:03.500Z
92,11,270.46,2022-07-09T14:43:03.500Z
93,30,1453.83,2022-07-09T14:43:03.500Z
94,34,2511.81,2022-07-09T14:43:03.500Z
95,19,1924.13,2022-07-09T14:43:03.500Z
96,10,1979.9,2022-07-09T14:43:03.500Z
97,20,2597.96,2022-07-09T14:43:03.500Z
98,18,2743.44,2022-07-09T14:43:03.500Z
99,0,1119.65,2022-07-09T14:43:03.500Z
100,24,801.17,2022-07-09T14:43:03.500Z
101,26,521.29,2022-07-09T14:43:03.500Z
102,17,2651.27,2022-07-09T14:43:03.500Z
103,3,1039.39,2022-07-09T14:43:03.500Z
104,15,1439.67,2022-07-09T14:43:03.500Z
105,34,2479.35,2022-07-10T14:43:03.500Z
106,24,782.08,2022-07-10T14:43:03.500Z
107,27,2119.1,2022-07-10T14:43:03.500Z
108,18,2515.83,2022-07-10T14:43:03.500Z
109,19,2088.63,2022-07-10T14:43:03.500Z
110,8,1573.12,2022-07-10T14:43:03.500Z
111,12,1065.46,2022-07-10T14:43:03.500Z
112,17,2714.38,2022-07-10T14:43:03.500Z
113,7,773.02,2022-07-10T14:43:03.500Z
114,13,2527.3,2022-07-10T14:43:03.500Z
115,15,1375.37,2022-07-10T14:43:03.500Z
116,20,2735.43,2022-07-10T14:43:03.500Z
117,3,1121.01,2022-07-10T14:43:03.500Z
118,6,2796.01,2022-07-10T14:43:03.500Z
119,0,1158.34,2022-07-10T14:43:03.500Z
120,28,2296.41,2022-07-10T14:43:03.500Z
121,14,2432.51,2022-07-10T14:43:03.500Z
122,32,2595.68,2022-07-10T14:43:03.500Z
123,33,1427.36,2022-07-10T14:43:03.500Z
124,30,1588.87,2022-07-10T14:43:03.500Z
125,25,3416.69,2022-07-10T14:43:03.500Z
126,26,550.95,2022-07-10T14:43:03.500Z
127,5,1101.68,2022-07-10T14:43:03.500Z
128,29,3167.07,2022-07-10T14:43:03.500Z
129,21,563.71,2022-07-10T14:43:03.500Z
130,10,2012.79,2022-07-10T14:43:03.500Z
131,22,2020.85,2022-07-10T14:43:03.500Z
132,4,1075.99,2022-07-10T14:43:03.500Z
133,11,269.03,2022-07-10T14:43:03.500Z
134,1,2075.27,2022-07-10T14:43:03.500Z
135,31,2683.16,2022-07-10T14:43:03.500Z
136,2,865.3,2022-07-10T14:43:03.500Z
137,23,136.65,2022-07-10T14:43:03.500Z
138,9,163.36,2022-07-10T14:43:03.500Z
139,16,1384.15,2022-07-10T14:43:03.500Z
140,4,1171.22,2022-07-11T14:43:03.500Z
141,28,2525.62,2022-07-11T14:43:03.500Z
142,3,1142.27,2022-07-11T14:43:03.500Z
143,0,1136.71,2022-07-11T14:43:03.500Z
144,15,1452.5,2022-07-11T14:43:03.500Z
145,12,1098.65,2022-07-11T14:43:03.500Z
146,10,1958.33,2022-07-11T14:43:03.500Z
147,23,134.54,2022-07-11T14:43:03.500Z
148,31,2771.92,2022-07-11T14:43:03.500Z
149,13,2774.54,2022-07-11T14:43:03.500Z
150,30,1638.61,2022-07-11T14:43:03.500Z
151,9,155.68,2022-07-11T14:43:03.500Z
152,11,263.8,2022-07-11T14:43:03.500Z
153,7,824.64,2022-07-11T14:43:03.500Z
154,26,505.85,2022-07-11T14:43:03.500Z
155,32,2793.85,2022-07-11T14:43:03.500Z
156,6,2943.68,2022-07-11T14:43:03.500Z
157,33,1374.24,2022-07-11T14:43:03.500Z
158,2,904.3,2022-07-11T14:43:03.500Z
159,19,2248.51,2022-07-11T14:43:03.500Z
160,1,1886.87,2022-07-11T14:43:03.500Z
161,20,2924.84,2022-07-11T14:43:03.500Z
162,25,3418.74,2022-07-11T14:43:03.500Z
163,27,2129.82,2022-07-11T14:43:03.500Z
164,14,2315.65,2022-07-11T14:43:03.500Z
165,24,836.01,2022-07-11T14:43:03.500Z
166,29,3176.24,2022-07-11T14:43:03.500Z
167,18,2759.8,2022-07-11T14:43:03.500Z
168,34,2412.99,2022-07-11T14:43:03.500Z
169,16,1487.3,2022-07-11T14:43:03.500Z
170,5,1171.01,2022-07-11T14:43:03.500Z
171,8,1611.41,2022-07-11T14:43:03.500Z
172,21,511.87,2022-07-11T14:43:03.500Z
173,17,2859.22,2022-07-11T14:43:03.500Z
174,22,2028.32,2022-07-11T14:43:03.500Z
175,25,3187.92,2022-07-12T14:43:03.500Z
176,11,282.49,2022-07-12T14:43:03.500Z
177,13,3019.77,2022-07-12T14:43:03.500Z
178,26,505.03,2022-07-12T14:43:03.500Z
179,31,2797.34,2022-07-12T14:43:03.500Z
180,27,1971.45,2022-07-12T14:43:03.500Z
181,10,2000.16,2022-07-12T14:43:03.500Z
182,7,819.5,2022-07-12T14:43:03.500Z
183,23,131.96,2022-07-12T14:43:03.500Z
184,22,2231.89,2022-07-12T14:43:03.500Z
185,21,529.69,2022-07-12T14:43:03.500Z
186,17,2649.36,2022-07-12T14:43:03.500Z
187,20,2940.82,2022-07-12T14:43:03.500Z
188,6,2904.74,2022-07-12T14:43:03.500Z
189,9,156.48,2022-07-12T14:43:03.500Z
190,8,1540.69,2022-07-12T14:43:03.500Z
191,5,1202.03,2022-07-12T14:43:03.500Z
192,33,1497.96,2022-07-12T14:43:03.500Z
193,18,2592.54,2022-07-12T14:43:03.500Z
194,15,1463.69,2022-07-12T14:43:03.500Z
195,1,1897.52,2022-07-12T14:43:03.500Z
196,0,1116.54,2022-07-12T14:43:03.500Z
197,24,790.56,2022-07-12T14:43:03.500Z
198,12,1126.16,2022-07-12T14:43:03.500Z
199,2,950.72,2022-07-12T14:43:03.500Z
200,34,2323.33,2022-07-12T14:43:03.500Z
201,16,1514.79,2022-07-12T14:43:03.500Z
202,14,2201.37,2022-07-12T14:43:03.500Z
203,4,1140.95,2022-07-12T14:43:03.500Z
204,19,2141.16,2022-07-12T14:43:03.500Z
205,32,2859.38,2022-07-12T14:43:03.500Z
206,3,1044.75,2022-07-12T14:43:03.500Z
207,28,2618.09,2022-07-12T14:43:03.500Z
208,29,3104.71,2022-07-12T14:43:03.500Z
209,30,1601.43,2022-07-12T14:43:03.500Z
210,0,1125.35,2022-07-13T14:43:03.500Z
211,22,2201.69,2022-07-13T14:43:03.500Z
212,6,2855.57,2022-07-13T14:43:03.500Z
213,29,3124.48,2022-07-13T14:43:03.500Z
214,23,121.19,2022-07-13T14:43:03.500Z
215,1,1780.86,2022-07-13T14:43:03.500Z
216,21,564.76,2022-07-13T14:43:03.500Z
217,8,1420.17,2022-07-13T14:43:03.500Z
218,7,773.33,2022-07-13T14:43:03.500Z
219,33,1541.32,2022-07-13T14:43:03.500Z
220,26,500.46,2022-07-13T14:43:03.500Z
221,18,2676.2,2022-07-13T14:43:03.500Z
222,20,3238.25,2022-07-13T14:43:03.500Z
223,17,2499.28,2022-07-13T14:43:03.500Z
224,34,2262.48,2022-07-13T14:43:03.500Z
225,5,1275.25,2022-07-13T14:43:03.500Z
226,25,3147.71,2022-07-13T14:43:03.500Z
227,30,1735.8,2022-07-13T14:43:03.500Z
228,13,3160.52,2022-07-13T14:43:03.500Z
229,2,989.54,2022-07-13T14:43:03.500Z
230,15,1397.18,2022-07-13T14:43:03.500Z
231,27,2136.23,2022-07-13T14:43:03.500Z
232,12,1034.2,2022-07-13T14:43:03.500Z
233,11,270.88,2022-07-13T14:43:03.500Z
234,28,2435.18,2022-07-13T14:43:03.500Z
235,19,2358.61,2022-07-13T14:43:03.500Z
236,3,1156.43,2022-07-13T14:43:03.500Z
237,24,740.26,2022-07-13T14:43:03.500Z
238,10,1894.38,2022-07-13T14:43:03.500Z
239,9,152.24,2022-07-13T14:43:03.500Z
240,14,2436.11,2022-07-13T14:43:03.500Z
241,16,1622.48,2022-07-13T14:43:03.500Z
242,31,3009.21,2022-07-13T14:43:03.500Z
243,32,2586.8,2022-07-13T14:43:03.500Z
244,4,1085.85,2022-07-13T14:43:03.500Z
245,23,115.43,2022-07-14T14:43:03.500Z
246,13,3224.38,2022-07-14T14:43:03.500Z
247,25,3163.84,2022-07-14T14:43:03.500Z
248,19,2396.51,2022-07-14T14:43:03.500Z
249,18,2965.79,2022-07-14T14:43:03.500Z
250,32,2592.94,2022-07-14T14:43:03.500Z
251,10,1946.1,2022-07-14T14:43:03.500Z
252,26,511.05,2022-07-14T14:43:03.500Z
253,29,3243.72,2022-07-14T14:43:03.500Z
254,11,291.96,2022-07-14T14:43:03.500Z
255,9,140.63,2022-07-14T14:43:03.500Z
256,12,1012.55,2022-07-14T14:43:03.500Z
257,8,1327.13,2022-07-14T14:43:03.500Z
258,3,1090.4,2022-07-14T14:43:03.500Z
259,33,1554.53,2022-07-14T14:43:03.500Z
260,0,1137.41,2022-07-14T14:43:03.500Z
261,1,1925.64,2022-07-14T14:43:03.500Z
262,24,683.62,2022-07-14T14:43:03.500Z
263,21,578.73,2022-07-14T14:43:03.500Z
264,20,3319.15,2022-07-14T14:43:03.500Z
265,6,3162.23,2022-07-14T14:43:03.500Z
266,14,2593.85,2022-07-14T14:43:03.500Z
267,22,2132.75,2022-07-14T14:43:03.500Z
268,4,995.78,2022-07-14T14:43:03.500Z
269,2,988.69,2022-07-14T14:43:03.500Z
270,5,1306.43,2022-07-14T14:43:03.500Z
271,17,2694.58,2022-07-14T14:43:03.500Z
272,34,2386.48,2022-07-14T14:43:03.500Z
273,27,2234.26,2022-07-14T14:43:03.500Z
274,31,3309.99,2022-07-14T14:43:03.500Z
275,28,2224.08,2022-07-14T14:43:03.500Z
276,16,1693.31,2022-07-14T14:43:03.500Z
277,15,1328.02,2022-07-14T14:43:03.500Z
278,30,1715.54,2022-07-14T14:43:03.500Z
279,7,811.81,2022-07-14T14:43:03.500Z
280,5,1428.43,2022-07-15T14:43:03.500Z
281,7,843.38,2022-07-15T14:43:03.500Z
282,33,1459.79,2022-07-15T14:43:03.500Z
283,4,1026.18,2022-07-15T14:43:03.500Z
284,31,3002.03,2022-07-15T14:43:03.500Z
285,24,727.76,2022-07-15T14:43:03.500Z
286,21,545.1,2022-07-15T14:43:03.500Z
287,26,507.65,2022-07-15T14:43:03.500Z
288,16,1668.36,2022-07-15T14:43:03.500Z
289,1,1749.69,2022-07-15T14:43:03.500Z
290,0,1157.29,2022-07-15T14:43:03.500Z
291,3,1088.03,2022-07-15T14:43:03.500Z
292,34,2446.22,2022-07-15T14:43:03.500Z
293,12,997.94,2022-07-15T14:43:03.500Z
294,10,1946.74,2022-07-15T14:43:03.500Z
295,28,2264.22,2022-07-15T14:43:03.500Z
296,9,137.8,2022-07-15T14:43:03.500Z
297,2,1027.41,2022-07-15T14:43:03.500Z
298,15,1451.91,2022-07-15T14:43:03.500Z
299,14,2388.34,2022-07-15T14:43:03.500Z
300,6,2883.7,2022-07-15T14:43:03.500Z
301,17,2526.29,2022-07-15T14:43:03.500Z
302,27,2389.57,2022-07-15T14:43:03.500Z
303,13,3148.94,2022-07-15T14:43:03.500Z
304,8,1215.76,2022-07-15T14:43:03.500Z
305,11,309.03,2022-07-15T14:43:03.500Z
306,22,2221.03,2022-07-15T14:43:03.500Z
307,29,2925.92,2022-07-15T14:43:03.500Z
308,30,1769.58,2022-07-15T14:43:03.500Z
309,20,3008.78,2022-07-15T14:43:03.500Z
310,32,2647.65,2022-07-15T14:43:03.500Z
311,25,2982.05,2022-07-15T14:43:03.500Z
312,23,111.1,2022-07-15T14:43:03.500Z
313,19,2322.47,2022-07-15T14:43:03.500Z
314,18,2930.6,2022-07-15T14:43:03.500Z
315,32,2589.28,2022-07-16T14:43:03.500Z
316,31,2962.74,2022-07-16T14:43:03.500Z
317,24,791.11,2022-07-16T14:43:03.500Z
318,25,2798.16,2022-07-16T14:43:03.500Z
319,2,1119.67,2022-07-16T14:43:03.500Z
320,33,1423.33,2022-07-16T14:43:03.500Z
321,34,2610,2022-07-16T14:43:03.500Z
322,18,3029.04,2022-07-16T14:43:03.500Z
323,5,1432.21,2022-07-16T14:43:03.500Z
324,22,2143.91,2022-07-16T14:43:03.500Z
325,11,301.49,2022-07-16T14:43:03.500Z
326,19,2354,2022-07-16T14:43:03.500Z
327,15,1310.33,2022-07-16T14:43:03.500Z
328,23,113.88,2022-07-16T14:43:03.500Z
329,21,594.11,2022-07-16T14:43:03.500Z
330,28,2328.14,2022-07-16T14:43:03.500Z
331,10,1769.1,2022-07-16T14:43:03.500Z
332,20,3176.17,2022-07-16T14:43:03.500Z
333,26,481.08,2022-07-16T14:43:03.500Z
334,9,125.3,2022-07-16T14:43:03.500Z
335,27,2190.62,2022-07-16T14:43:03.500Z
336,29,3141.87,2022-07-16T14:43:03.500Z
337,4,940.61,2022-07-16T14:43:03.500Z
338,12,997.79,2022-07-16T14:43:03.500Z
339,3,1176.09,2022-07-16T14:43:03.500Z
340,30,1946.07,2022-07-16T14:43:03.500Z
341,1,1824.43,2022-07-16T14:43:03.500Z
342,0,1236.54,2022-07-16T14:43:03.500Z
343,7,860.21,2022-07-16T14:43:03.500Z
344,8,1121.77,2022-07-16T14:43:03.500Z
345,13,2981.27,2022-07-16T14:43:03.500Z
346,14,2495.13,2022-07-16T14:43:03.500Z
347,16,1587.19,2022-07-16T14:43:03.500Z
348,6,2992.27,2022-07-16T14:43:03.500Z
349,17,2611.04,2022-07-16T14:43:03.500Z
350,15,1314.48,2022-07-17T14:43:03.500Z
351,12,997.23,2022-07-17T14:43:03.500Z
352,28,2343.88,2022-07-17T14:43:03.500Z
353,7,856.43,2022-07-17T14:43:03.500Z
354,18,3133.9,2022-07-17T14:43:03.500Z
355,4,959.33,2022-07-17T14:43:03.500Z
356,19,2565.87,2022-07-17T14:43:03.500Z
357,26,433.35,2022-07-17T14:43:03.500Z
358,2,1015.32,2022-07-17T14:43:03.500Z
359,21,645.21,2022-07-17T14:43:03.500Z
360,11,271.46,2022-07-17T14:43:03.500Z
361,30,2150.52,2022-07-17T14:43:03.500Z
362,22,2321.43,2022-07-17T14:43:03.500Z
363,34,2606.4,2022-07-17T14:43:03.500Z
364,5,1487.48,2022-07-17T14:43:03.500Z
365,24,718.39,2022-07-17T14:43:03.500Z
366,20,2998.52,2022-07-17T14:43:03.500Z
367,33,1472.31,2022-07-17T14:43:03.500Z
368,8,1125.22,2022-07-17T14:43:03.500Z
369,6,2937.49,2022-07-17T14:43:03.500Z
370,10,1727.78,2022-07-17T14:43:03.500Z
371,9,132.97,2022-07-17T14:43:03.500Z
372,32,2639.59,2022-07-17T14:43:03.500Z
373,31,3091.91,2022-07-17T14:43:03.500Z
374,13,2923.76,2022-07-17T14:43:03.500Z
375,16,1572.25,2022-07-17T14:43:03.500Z
376,29,3152,2022-07-17T14:43:03.500Z
377,0,1200.28,2022-07-17T14:43:03.500Z
378,27,2389.34,2022-07-17T14:43:03.500Z
379,23,112.97,2022-07-17T14:43:03.500Z
380,25,3076.05,2022-07-17T14:43:03.500Z
381,1,1855.61,2022-07-17T14:43:03.500Z
382,14,2283.28,2022-07-17T14:43:03.500Z
383,3,1133.49,2022-07-17T14:43:03.500Z
384,17,2696.24,2022-07-17T14:43:03.500Z
385,25,3093.75,2022-07-18T14:43:03.500Z
386,22,2277.61,2022-07-18T14:43:03.500Z
387,19,2608.69,2022-07-18T14:43:03.500Z
388,33,1326.44,2022-07-18T14:43:03.500Z
389,24,795.42,2022-07-18T14:43:03.500Z
390,15,1394.74,2022-07-18T14:43:03.500Z
391,10,1869.61,2022-07-18T14:43:03.500Z
392,11,272.94,2022-07-18T14:43:03.500Z
393,30,1983.9,2022-07-18T14:43:03.500Z
394,9,136.98,2022-07-18T14:43:03.500Z
395,8,1045.54,2022-07-18T14:43:03.500Z
396,23,120.08,2022-07-18T14:43:03.500Z
397,34,2692.1,2022-07-18T14:43:03.500Z
398,12,916.33,2022-07-18T14:43:03.500Z
399,7,884.04,2022-07-18T14:43:03.500Z
400,21,642.05,2022-07-18T14:43:03.500Z
401,6,2691.53,2022-07-18T14:43:03.500Z
402,16,1686.33,2022-07-18T14:43:03.500Z
403,5,1352.82,2022-07-18T14:43:03.500Z
404,18,2964.46,2022-07-18T14:43:03.500Z
405,31,2998.2,2022-07-18T14:43:03.500Z
406,0,1265.5,2022-07-18T14:43:03.500Z
407,20,3253.33,2022-07-18T14:43:03.500Z
408,2,1078.91,2022-07-18T14:43:03.500Z
409,3,1253.21,2022-07-18T14:43:03.500Z
410,4,959.62,2022-07-18T14:43:03.500Z
411,29,3496.74,2022-07-18T14:43:03.500Z
412,32,2894.32,2022-07-18T14:43:03.500Z
413,1,2040.85,2022-07-18T14:43:03.500Z
414,17,2805.56,2022-07-18T14:43:03.500Z
415,27,2517.79,2022-07-18T14:43:03.500Z
416,26,440.91,2022-07-18T14:43:03.500Z
417,28,2588.55,2022-07-18T14:43:03.500Z
418,13,3112.27,2022-07-18T14:43:03.500Z
419,14,2057.24,2022-07-18T14:43:03.500Z
420,7,824.66,2022-07-19T14:43:03.500Z
421,29,3613.12,2022-07-19T14:43:03.500Z
422,26,444.19,2022-07-19T14:43:03.500Z
423,6,2824.83,2022-07-19T14:43:03.500Z
424,8,1067.15,2022-07-19T14:43:03.500Z
425,2,991.22,2022-07-19T14:43:03.500Z
426,27,2641.86,2022-07-19T14:43:03.500Z
427,0,1239.26,2022-07-19T14:43:03.500Z
428,13,3307.53,2022-07-19T14:43:03.500Z
429,32,2973.81,2022-07-19T14:43:03.500Z
430,15,1404.66,2022-07-19T14:43:03.500Z
431,3,1208.52,2022-07-19T14:43:03.500Z
432,18,2932.82,2022-07-19T14:43:03.500Z
433,12,858.9,2022-07-19T14:43:03.500Z
434,5,1410.72,2022-07-19T14:43:03.500Z
435,20,3527.94,2022-07-19T14:43:03.500Z
436,23,131.45,2022-07-19T14:43:03.500Z
437,31,2854.28,2022-07-19T14:43:03.500Z
438,25,3397.75,2022-07-19T14:43:03.500Z
439,24,741.25,2022-07-19T14:43:03.500Z
440,10,1918.54,2022-07-19T14:43:03.500Z
441,9,142.96,2022-07-19T14:43:03.500Z
442,34,2718.6,2022-07-19T14:43:03.500Z
443,1,1878.5,2022-07-19T14:43:03.500Z
444,17,3040.29,2022-07-19T14:43:03.500Z
445,4,873.6,2022-07-19T14:43:03.500Z
446,33,1265.98,2022-07-19T14:43:03.500Z
447,11,274.71,2022-07-19T14:43:03.500Z
448,21,675.63,2022-07-19T14:43:03.500Z
449,19,2654.67,2022-07-19T14:43:03.500Z
450,22,2371.24,2022-07-19T14:43:03.500Z
451,14,1921.42,2022-07-19T14:43:03.500Z
452,16,1837.29,2022-07-19T14:43:03.500Z
453,28,2404.43,2022-07-19T14:43:03.500Z
454,30,2133.35,2022-07-19T14:43:03.500Z
455,27,2440.21,2022-07-20T14:43:03.500Z
456,33,1302.58,2022-07-20T14:43:03.500Z
457,24,787.49,2022-07-20T14:43:03.500Z
458,21,617.03,2022-07-20T14:43:03.500Z
459,29,3432.64,2022-07-20T14:43:03.500Z
460,18,2663.02,2022-07-20T14:43:03.500Z
461,12,791.25,2022-07-20T14:43:03.500Z
462,25,3416.26,2022-07-20T14:43:03.500Z
463,19,2448.04,2022-07-20T14:43:03.500Z
464,23,137.75,2022-07-20T14:43:03.500Z
465,11,292.58,2022-07-20T14:43:03.500Z
466,6,2640.2,2022-07-20T14:43:03.500Z
467,2,1046.73,2022-07-20T14:43:03.500Z
468,8,985.75,2022-07-20T14:43:03.500Z
469,20,3590.81,2022-07-20T14:43:03.500Z
470,32,2862,2022-07-20T14:43:03.500Z
471,17,2815.24,2022-07-20T14:43:03.500Z
472,22,2596.92,2022-07-20T14:43:03.500Z
473,13,3433.13,2022-07-20T14:43:03.500Z
474,34,2746.11,2022-07-20T14:43:03.500Z
475,28,2174.97,2022-07-20T14:43:03.500Z
476,31,2706.26,2022-07-20T14:43:03.500Z
477,3,1212.61,2022-07-20T14:43:03.500Z
478,26,486.85,2022-07-20T14:43:03.500Z
479,30,1937.27,2022-07-20T14:43:03.500Z
480,5,1336.55,2022-07-20T14:43:03.500Z
481,16,1754.95,2022-07-20T14:43:03.500Z
482,14,1937.08,2022-07-20T14:43:03.500Z
483,0,1236.78,2022-07-20T14:43:03.500Z
484,1,1731.74,2022-07-20T14:43:03.500Z
485,4,851.15,2022-07-20T14:43:03.500Z
486,15,1548.99,2022-07-20T14:43:03.500Z
487,9,143.81,2022-07-20T14:43:03.500Z
488,7,821.15,2022-07-20T14:43:03.500Z
489,10,1876.18,2022-07-20T14:43:03.500Z
490,15,1538.72,2022-07-21T14:43:03.500Z
491,11,324.47,2022-07-21T14:43:03.500Z
492,30,2088.86,2022-07-21T14:43:03.500Z
493,10,1958.88,2022-07-21T14:43:03.500Z
494,27,2525.34,2022-07-21T14:43:03.500Z
495,28,2169.34,2022-07-21T14:43:03.500Z
496,9,145.13,2022-07-21T14:43:03.500Z
497,12,866.33,2022-07-21T14:43:03.500Z
498,3,1226.64,2022-07-21T14:43:03.500Z
499,26,440.73,2022-07-21T14:43:03.500Z
500,17,2839.69,2022-07-21T14:43:03.500Z
501,16,1850.9,2022-07-21T14:43:03.500Z
502,0,1204.32,2022-07-21T14:43:03.500Z
503,19,2397.35,2022-07-21T14:43:03.500Z
504,6,2907.58,2022-07-21T14:43:03.500Z
505,18,2526.94,2022-07-21T14:43:03.500Z
506,31,2720.72,2022-07-21T14:43:03.500Z
507,2,1025.31,2022-07-21T14:43:03.500Z
508,34,2925.21,2022-07-21T14:43:03.500Z
509,23,143.96,2022-07-21T14:43:03.500Z
510,29,3331.66,2022-07-21T14:43:03.500Z
511,32,3084.89,2022-07-21T14:43:03.500Z
512,14,1939.43,2022-07-21T14:43:03.500Z
513,13,3578.08,2022-07-21T14:43:03.500Z
514,1,1585.28,2022-07-21T14:43:03.500Z
515,22,2391.86,2022-07-21T14:43:03.500Z
516,25,3409.5,2022-07-21T14:43:03.500Z
517,8,1015.58,2022-07-21T14:43:03.500Z
518,5,1342.27,2022-07-21T14:43:03.500Z
519,4,940.24,2022-07-21T14:43:03.500Z
520,7,823.92,2022-07-21T14:43:03.500Z
521,33,1189.8,2022-07-21T14:43:03.500Z
522,21,665.74,2022-07-21T14:43:03.500Z
523,20,3705.29,2022-07-21T14:43:03.500Z
524,24,709.17,2022-07-21T14:43:03.500Z
525,3,1136.37,2022-07-22T14:43:03.500Z
526,1,1598.62,2022-07-22T14:43:03.500Z
527,20,3982.54,2022-07-22T14:43:03.500Z
528,2,958.76,2022-07-22T14:43:03.500Z
529,19,2644.1,2022-07-22T14:43:03.500Z
530,0,1145.14,2022-07-22T14:43:03.500Z
531,23,153.8,2022-07-22T14:43:03.500Z
532,4,1000.82,2022-07-22T14:43:03.500Z
533,7,749.47,2022-07-22T14:43:03.500Z
534,6,2835.01,2022-07-22T14:43:03.500Z
535,25,3436.53,2022-07-22T14:43:03.500Z
536,5,1386.62,2022-07-22T14:43:03.500Z
537,22,2225.11,2022-07-22T14:43:03.500Z
538,32,2871.83,2022-07-22T14:43:03.500Z
539,17,2622.22,2022-07-22T14:43:03.500Z
540,8,1102.42,2022-07-22T14:43:03.500Z
541,18,2307.58,2022-07-22T14:43:03.500Z
542,21,677.39,2022-07-22T14:43:03.500Z
